職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
資深專員 台北,全職,8 / 8,40,偶爾,7 年,"45,000 / 月",280 元,2023.07
襄理 ,全職,8 / 10,50,經常,15 年,"1,000,000 / 年",415 元,2022.09
理賠人員 台北,全職,8 / 10,50,偶爾,5 年,"38,000 / 月",189 元,2021.03
專員 ,全職,8 / 8,40,幾乎不,1 年,"30,000 / 月",187 元,2013.02
軟體測試人員 內湖,實習,8 / 8,24,幾乎不,-,250 / 小時,250 元,2020.06
業務專員 ,全職,8 / 4,20,幾乎不,-,"400,000 / 年",415 元,2019.06
實習生 IT,實習,8 / 8,24,幾乎不,-,"2,000 / 日",250 元,2017.06
軟體工程師 ,全職,8 / 8.5,42,偶爾,-,"650,000 / 年",321 元,2019.05
業務實習 ,實習,8 / 8,20,幾乎不,-,150 / 小時,150 元,2016.08
工程 ,全職,8 / 9,50,經常,-,"30,000 / 月",148 元,2018.11
行政助理 ,派遣,8 / 9,45,偶爾,2 年,"25,000 / 月",138 元,2017.06
業務主管 台中,全職,8 / 14,40,幾乎每天,7 年,"80,000 / 月",529 元,2018.07
業務 ,全職,9 / 9,45,偶爾,1 年,"500,000 / 年",231 元,2018.06
行銷專員 ,全職,10 / 10,50,幾乎不,1 年,"1,000,000 / 年",415 元,2018.06
行銷專員 ,全職,4 / 10,50,經常,-,"30,000 / 月",149 元,2016.08
國內業務主管 ,全職,8 / 12,84,幾乎每天,4 年,"2,000,000 / 年",483 元,2015.06
理賠專員 南區,全職,8 / 10,50,幾乎每天,-,"36,000 / 月",179 元,2017.04
AG TP858,兼職(含打工),8 / 6,30,幾乎不,3 年,"300,000 / 年",207 元,2017.03
行銷專員 行天宮,全職,2 / 4,28,偶爾,1 年,"480,000 / 年",348 元,2017.03
業務主任 內湖,全職,8 / 11,55,幾乎每天,2 年,"600,000 / 年",226 元,2017.02
專案副理 ,,8 / 10,50,偶爾,-,-,,2016.08
專員 ,,8 / 11,55,幾乎每天,-,-,,2016.08
資深專員 ,,8 / 8,43,偶爾,-,-,,2016.07
