職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
通訊軟體工程師 新竹,全職,8 / 9,50,偶爾,4 年,"90,000 / 月",445 元,2023.11
E9 ,全職,8 / 8,40,幾乎不,18 年,"3,300,000 / 年",1712 元,2023.11
硬體資深工程師 ,全職,8 / 12,65,幾乎每天,5 年,"98,000 / 月",373 元,2023.09
軟體工程師 ,全職,8 / 8.5,45,幾乎不,-,"140,000 / 月",771 元,2023.07
硬體工程師 ,全職,9 / 11,50,經常,-,"1,800,000 / 年",753 元,2023.07
DV ,全職,8 / 10,52,經常,4 年,"100,000 / 月",477 元,2023.07
資深工程師 新竹,全職,8 / 11,55,幾乎每天,3 年,"3,000,000 / 年",1132 元,2023.06
韌體設計工程師 ,全職,8 / 9,45,偶爾,4 年,"90,000 / 月",498 元,2023.05
軟體工程師 內湖,全職,8 / 10,50,幾乎每天,-,"1,660,000 / 年",689 元,2023.05
E8 ,全職,8 / 10.5,50,經常,9 年,"130,000 / 月",650 元,2023.03
測試工程師 ,派遣,8 / 12,60,經常,-,"40,000 / 月",166 元,2023.03
通訊軟體工程師 ,全職,8 / 9,45,偶爾,5 年,"2,500,000 / 年",1153 元,2022.12
助理工程師 ,約聘雇,8 / 8,16,幾乎不,-,250 / 小時,250 元,2019.03
軟體設計工程師 新竹,全職,8 / 11,55,幾乎每天,4 年,"2,000,000 / 年",754 元,2022.02
資深數位IC驗證工程師 ,全職,8 / 9,45,偶爾,2 年,"3,000,000 / 年",1383 元,2022.08
HR ,實習,8 / 8,40,幾乎不,-,"26,500 / 月",165 元,2018.09
數位IC設計工程師 新竹總部,全職,8 / 11,55,幾乎每天,5 年,"103,000 / 月",466 元,2022.02
數位IC設計工程師 ,全職,8 / 10,50,經常,2 年,"2,000,000 / 年",830 元,2021.11
軟體工程師 ,全職,8 / 9,45,偶爾,-,"1,350,000 / 年",622 元,2021.10
軟韌體設計工程師 ,全職,8 / 10,50,幾乎每天,-,"76,000 / 月",378 元,2021.09
硬體研發工程師 新竹,全職,8.5 / 10,50,幾乎每天,-,"76,000 / 月",378 元,2021.09
數位IC設計工程師 總部,全職,8 / 12,60,幾乎每天,1 年,"1,700,000 / 年",588 元,2021.09
硬體研發工程師 ,全職,8 / 13,55,幾乎每天,5 年,"2,200,000 / 年",842 元,2021.08
硬體工程師 ,全職,8 / 9,48,偶爾,2 年,"1,600,000 / 年",688 元,2021.09
軟韌體工程師 RD,全職,8 / 10,50,經常,-,"1,650,000 / 年",685 元,2021.09
主任工程師 竹北,全職,8 / 10,40,幾乎每天,5 年,"108,000 / 月",686 元,2019.09
工程師 總部,全職,8 / 8,40,偶爾,2 年,"82,000 / 月",510 元,2021.08
軟韌體測試工程師INTERN 竹北,實習,8 / 8.5,42,幾乎不,-,"30,000 / 月",178 元,2021.08
硬體研發工程師 ,全職,8 / 9,45,偶爾,4 年,"2,000,000 / 年",922 元,2021.08
數位IC工程師 ,全職,8 / 12,60,幾乎每天,5 年,"1,800,000 / 年",622 元,2021.07
工程師 ,全職,8 / 10,50,經常,1 年,"80,400 / 月",400 元,2021.07
硬體工程師 台元,全職,8 / 11,50,經常,4 年,"1,700,000 / 年",711 元,2021.06
類比IC設計工程師 ,全職,8 / 10,50,經常,2 年,"1,600,000 / 年",664 元,2021.06
IC DESIGNER 內湖,全職,8 / 8,40,幾乎不,-,"76,000 / 月",473 元,2021.05
測試工程師 新竹總部,約聘雇,8 / 9,45,經常,-,"32,000 / 月",177 元,2018.06
RESEARCH INTERN 新竹總部,約聘雇,8 / 8,40,幾乎不,-,250 / 小時,250 元,2020.12
資深工程師 ,全職,8 / 10,50,經常,4 年,"2,000,000 / 年",830 元,2021.05
韌體設計工程師 竹北電視部門,全職,9 / 12.5,50,幾乎每天,2 年,"1,500,000 / 年",635 元,2021.04
韌體設計工程師 竹北,全職,8 / 11,55,幾乎每天,8 年,"100,000 / 月",453 元,2021.02
技術副理 ,全職,8 / 10,50,幾乎每天,15 年,"120,000 / 月",598 元,2021.02
軟體工程師 新竹總部,全職,8 / 10,47,經常,10 年,"3,000,000 / 年",1331 元,2021.02
資深軟體工程師 內湖,全職,8 / 10,50,經常,5 年,"92,800 / 月",462 元,2021.01
軟體測試 ,派遣,8 / 9.5,48,經常,-,"40,000 / 月",207 元,2020.05
派遣自動化工程師 總部,派遣,8 / 8,35,幾乎不,-,"45,000 / 月",324 元,2020.12
資深軟體工程師 ,全職,8 / 10,48,經常,4 年,"1,800,000 / 年",781 元,2020.12
助理工程師 總部,全職,8 / 10,50,經常,-,"560,000 / 年",232 元,2017.03
實習生 ,實習,8 / 8,40,幾乎不,-,190 / 小時,190 元,2018.07
工程師 ,全職,8 / 14,65,幾乎每天,3 年,"80,000 / 月",308 元,2020.11
硬體研發工程師 ,全職,8 / 8,40,偶爾,-,"85,000 / 月",529 元,2020.10
軟體工程師 創新大樓,全職,8 / 11,55,幾乎每天,14 年,"105,000 / 月",475 元,2018.01
資深工程師 ,全職,8.5 / 9,45,偶爾,6 年,"95,000 / 月",526 元,2020.08
資深工程師 ,全職,8 / 9,45,偶爾,3 年,"1,800,000 / 年",830 元,2020.09
E7 ,全職,8 / 8,40,偶爾,-,"76,000 / 月",473 元,2020.09
技術副理 ,全職,8 / 9,45,偶爾,10 年,"140,000 / 月",775 元,2020.07
軟體設計工程師 竹北,全職,8 / 11,55,幾乎每天,10 年,"2,700,000 / 年",1018 元,2020.07
技術副理 ,全職,8 / 12,57,幾乎每天,6 年,"2,500,000 / 年",914 元,2020.05
工程師 ,全職,8 / 12,80,幾乎每天,10 年,"2,500,000 / 年",636 元,2020.04
E8 ,全職,8 / 9.5,50,經常,8 年,"2,200,000 / 年",909 元,2020.04
研發工程師 ,全職,8 / 8,40,幾乎不,2 年,"1,650,000 / 年",856 元,2020.02
韌體設計工程師 ,全職,8 / 10,55,偶爾,3 年,"1,800,000 / 年",674 元,2019.12
軟體工程師 新竹,全職,8 / 10,46,偶爾,1 年,"1,100,000 / 年",500 元,2019.12
