職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
系統設計工程師 一廠,全職,8 / 10,55,偶爾,3 年,"2,000,000 / 年",749 元,2023.12
暑期實習生 ,實習,8 / 8,40,幾乎不,-,"40,000 / 月",249 元,2022.08
系統設計工程師 ,全職,8 / 11,50,幾乎每天,6 年,"95,000 / 月",477 元,2023.08
驗證工程師 ,全職,8 / 8,40,幾乎不,-,"80,000 / 月",498 元,2023.06
軟體 ,全職,8 / 8,40,偶爾,8 年,"3,000,000 / 年",1556 元,2023.04
研發工程師 ,全職,8 / 8,45,幾乎不,2 年,"2,500,000 / 年",1143 元,2023.02
軟體工程師 ,全職,8 / 10,50,幾乎每天,-,"70,000 / 月",349 元,2022.12
專案副理 ,全職,8 / 9,45,偶爾,9 年,"5,700,000 / 年",2628 元,2022.10
韌體工程師 CN,全職,8 / 11,55,經常,-,"78,000 / 月",353 元,2022.06
專案副理 ,全職,8 / 10,50,經常,16 年,"115,000 / 月",573 元,2021.12
專案副理 ,全職,8 / 10,50,經常,15 年,"125,000 / 月",622 元,2021.12
硬體研發工程師 ,全職,8 / 10,50,經常,4 年,"80,000 / 月",398 元,2021.12
專案副理 二廠,全職,8 / 9,45,偶爾,8 年,"3,800,000 / 年",1752 元,2021.10
專案副理 ,全職,8 / 10,45,偶爾,9 年,"2,090,000 / 年",972 元,2021.08
韌體工程師 ,全職,8 / 10,55,經常,2 年,"61,000 / 月",274 元,2021.08
工程師 ,全職,8 / 10,60,偶爾,-,"60,000 / 月",246 元,2021.08
硬體工程師 二廠,全職,8 / 8,40,偶爾,3 年,"83,000 / 月",517 元,2021.07
資深系統工程師 ,全職,8 / 10,50,偶爾,3 年,"1,700,000 / 年",705 元,2021.07
IC封裝╱測試工程師 ,全職,8 / 9,45,偶爾,5 年,"70,000 / 月",387 元,2021.06
軟體設計工程師 新竹二廠,全職,8 / 9.5,47,偶爾,13 年,"100,000 / 月",530 元,2021.06
資深工程師 ,全職,8 / 10,50,偶爾,13 年,"2,500,000 / 年",1037 元,2021.06
IC封裝╱測試工程師 新竹二廠,全職,8 / 9,45,偶爾,-,"68,000 / 月",376 元,2021.06
韌體設計工程師 新竹,全職,8 / 11,50,經常,6 年,"2,050,000 / 年",857 元,2021.06
專案副理 新竹二廠,全職,8 / 12,60,幾乎每天,12 年,"100,000 / 月",415 元,2021.06
資深工程師 ,全職,8 / 9,45,偶爾,4 年,"88,000 / 月",487 元,2021.06
企劃經理 ,全職,8 / 9.5,45,偶爾,9 年,"2,500,000 / 年",1158 元,2021.05
資深工程師 新竹,全職,8.5 / 10,40,偶爾,6 年,"2,000,000 / 年",1058 元,2019.03
IC封裝╱測試工程師 總公司,全職,8 / 10,50,經常,-,"1,400,000 / 年",581 元,2021.03
工程師 ,全職,8 / 10,50,幾乎每天,-,"66,000 / 月",329 元,2021.02
資深工程師 RDC,全職,8 / 9,45,幾乎每天,7 年,"106,000 / 月",586 元,2021.02
資深工程師 ,全職,8 / 9,50,經常,7 年,"2,000,000 / 年",823 元,2019.06
DD 二廠,全職,8 / 9,45,偶爾,2 年,"1,800,000 / 年",830 元,2021.02
SD ,全職,8 / 12,50,經常,5 年,"1,500,000 / 年",632 元,2021.01
DV ,全職,8 / 9,45,偶爾,2 年,"67,000 / 月",371 元,2020.11
軟體工程師 ,全職,8 / 12,56,幾乎每天,3 年,"1,600,000 / 年",596 元,2020.11
軟體工程師 TV部門,全職,9 / 11,55,經常,1 年,"1,000,000 / 年",377 元,2020.08
系統設計工程師 ,全職,8 / 10,50,經常,1 年,"1,300,000 / 年",539 元,2020.04
硬體研發工程師 二廠,全職,8 / 8,40,幾乎不,-,"1,300,000 / 年",674 元,2020.04
硬體研發工程師 二廠,全職,8 / 8,40,幾乎不,-,"72,000 / 月",448 元,2020.04
工程師 新竹,全職,8 / 10,50,幾乎每天,4 年,"1,400,000 / 年",581 元,2019.06
專案副理 竹科,全職,8 / 10,50,幾乎每天,8 年,"90,000 / 月",448 元,2017.06
專案副理 ,全職,8 / 11,60,幾乎每天,13 年,"1,660,000 / 年",570 元,2020.01
IC工程師 RDC,全職,8 / 10,50,偶爾,2 年,"1,500,000 / 年",622 元,2020.01
軟體工程師 ,全職,8 / 11,55,偶爾,9 年,"90,000 / 月",407 元,2019.12
韌體設計工程師 tv,全職,8.5 / 10,50,經常,7 年,"1,700,000 / 年",705 元,2019.12
硬體研發工程師 二廠,全職,8 / 8,40,偶爾,1 年,"76,000 / 月",473 元,2019.12
約聘助理工程師 ,約聘雇,8 / 8,40,偶爾,-,"23,500 / 月",146 元,2019.12
資深工程師 ,全職,8 / 10,48,經常,8 年,"90,000 / 月",468 元,2019.12
主任工程師 ,全職,8.5 / 10,48,經常,12 年,"2,500,000 / 年",1084 元,2018.08
專案經理 新竹,全職,8 / 10,45,偶爾,10 年,"2,500,000 / 年",1163 元,2019.12
工程師 MF,全職,8 / 10,45,經常,4 年,"900,000 / 年",419 元,2019.11
資深工程師 新竹,全職,8 / 10,50,偶爾,9 年,"1,800,000 / 年",747 元,2019.11
硬體工程師 新竹,全職,8 / 10,45,偶爾,9 年,"2,500,000 / 年",1163 元,2019.11
工程師 總公司,全職,8 / 10,50,幾乎每天,10 年,"1,120,000 / 年",465 元,2019.11
資深工程師 RDC,全職,8 / 9,45,偶爾,6 年,"2,380,000 / 年",1097 元,2019.10
系統工程師 MM,全職,8 / 11,55,幾乎每天,5 年,"1,250,000 / 年",472 元,2019.09
資深工程師 ,全職,8 / 11,55,幾乎每天,4 年,"83,000 / 月",376 元,2019.10
FAE ,全職,8 / 10,50,經常,2 年,"1,700,000 / 年",705 元,2019.09
CAD╱CAM工程師 ,全職,8 / 14,70,幾乎每天,3 年,"76,000 / 月",270 元,2019.08
SD CN,全職,8 / 9,50,幾乎不,-,"70,000 / 月",346 元,2019.08
SD ,全職,8 / 12,50,經常,-,"67,000 / 月",339 元,2019.08
IC驗證 ,全職,8 / 8,40,幾乎不,2 年,"66,000 / 月",411 元,2019.07
IC封裝╱測試工程師 ,全職,8 / 11,55,經常,10 年,"1,500,000 / 年",566 元,2019.07
系統設計工程師 ,全職,8 / 9,45,偶爾,6 年,"2,100,000 / 年",968 元,2019.07
SD ,全職,8 / 10,48,偶爾,3 年,"1,700,000 / 年",737 元,2019.07
SD ,全職,8 / 10,50,經常,5 年,"68,300 / 月",340 元,2019.05
硬體工程師 竹科,全職,8 / 7.5,40,幾乎不,-,"70,000 / 月",434 元,2019.04
SD 新竹,全職,8 / 10,50,偶爾,-,"62,000 / 月",309 元,2019.04
SD 新竹,全職,8 / 10,55,經常,5 年,"68,300 / 月",307 元,2019.03
數位IC設計工程師 一廠/RDC,全職,8 / 9.5,45,經常,-,"60,000 / 月",333 元,2019.02
驗證工程師 ,全職,8 / 8,40,幾乎不,2 年,"1,300,000 / 年",674 元,2019.02
IC設計 新竹,全職,8 / 9,45,偶爾,3 年,"1,700,000 / 年",784 元,2018.12
軟體工程師 ,全職,8 / 10,50,偶爾,-,"68,000 / 月",339 元,2018.10
系統工程師 ,全職,8 / 10,50,偶爾,7 年,"83,000 / 月",413 元,2016.03
演算法工程師 ,全職,8 / 10,50,幾乎每天,-,"70,000 / 月",349 元,2018.03
系統工程師 ,全職,8 / 9,45,偶爾,10 年,"1,700,000 / 年",784 元,2018.08
工程師 HQ,全職,8 / 10,50,經常,3 年,"45,000 / 月",224 元,2018.08
數位IC設計工程師 ,全職,8 / 9,45,偶爾,1 年,"75,000 / 月",415 元,2018.07
產品經理 ,全職,8.5 / 12,50,經常,3 年,"1,850,000 / 年",780 元,2018.07
工程師 一廠,全職,8 / 9,50,偶爾,1 年,"70,000 / 月",346 元,2018.06
工程師 新竹二廠,全職,8.3 / 12.5,62,幾乎每天,3 年,"1,150,000 / 年",385 元,2016.06
硬體工程師 新竹,全職,8 / 10,50,幾乎每天,2 年,"75,000 / 月",373 元,2018.04
工程師 一廠,全職,18 / 10,55,經常,2 年,"1,350,000 / 年",506 元,2018.05
系統工程師 新竹 網通,全職,9 / 10,45,偶爾,-,"60,000 / 月",335 元,2018.05
電子產品系統工程師 ,全職,8 / 12,55,經常,4 年,"72,000 / 月",328 元,2018.01
數位IC設計工程師 網通wifi,全職,8 / 10,50,偶爾,2 年,"1,700,000 / 年",705 元,2017.04
CAD╱CAM工程師 ,全職,8 / 9,45,偶爾,2 年,"1,500,000 / 年",692 元,2017.04
正職 ,全職,8 / 11,60,經常,8 年,"82,000 / 月",338 元,2017.04
軟體設計工程師 新竹市,全職,8 / 12,52,偶爾,4 年,"1,500,000 / 年",606 元,2017.03
數位IC設計工程師 竹科,全職,8 / 8,40,幾乎不,-,"70,000 / 月",436 元,2017.03
實體設計工程師 新竹,全職,8 / 9,45,偶爾,1 年,"53,000 / 月",293 元,2017.03
電信╱通訊系統工程師 台中市,全職,8 / 10,50,偶爾,-,"70,000 / 月",349 元,2017.03
電子產品系統工程師 新竹,全職,8 / 12,60,幾乎每天,2 年,"64,000 / 月",266 元,2017.03
系統設計工程師 ,全職,8 / 11,55,幾乎每天,3 年,"1,800,000 / 年",679 元,2017.02
資深工程師 ,,8 / 10.5,52,幾乎每天,-,-,,2016.08
CAD╱CAM工程師 ,,8 / 8,45,偶爾,-,-,,2016.07
軟體設計工程師 ,,8 / 11,55,幾乎每天,-,-,,2016.07
