職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
工程師 台北,全職,7.5 / 7.5,37.5,幾乎不,2 年,"70,000 / 月",465 元,2023.01
軟體工程師 ,全職,8 / 9,45,幾乎每天,-,"68,000 / 月",376 元,2022.09
軟體工程師 ,全職,7.5 / 8,40,偶爾,2 年,"900,000 / 年",467 元,2023.12
軟體工程師 ,全職,7.5 / 7.5,40,偶爾,-,"64,000 / 月",396 元,2022.11
軟體工程師 ,全職,7.5 / 8,40,偶爾,1 年,"900,000 / 年",467 元,2023.08
資深軟體工程師 ,全職,8 / 8,40,幾乎不,6 年,"1,270,000 / 年",659 元,2023.07
STAFF ENGINEER ,全職,8 / 7.5,40,幾乎不,11 年,"2,150,000 / 年",1110 元,2023.07
軟體工程師 台北,全職,8 / 8.5,40,偶爾,1 年,"1,350,000 / 年",704 元,2023.02
資深經理 ,全職,7.5 / 8,40,偶爾,15 年,"2,500,000 / 年",1297 元,2022.04
資深工程師 ,全職,8 / 8,40,偶爾,12 年,"1,300,000 / 年",674 元,2021.12
測試工程師 台北,全職,8 / 8,40,幾乎不,3 年,"1,120,000 / 年",581 元,2022.01
STAFF ENGINEER ,全職,7.5 / 10,45,偶爾,8 年,"1,350,000 / 年",628 元,2021.10
軟體工程師 ,全職,8 / 8,40,幾乎不,2 年,"61,800 / 月",385 元,2017.02
SENIOR ENGINEER ,全職,7.5 / 5,25,幾乎不,2 年,"1,015,000 / 年",842 元,2021.07
軟體工程師 ,全職,8 / 8,40,偶爾,10 年,"57,000 / 月",355 元,2021.07
RD  ,派遣,8 / 8,40,偶爾,-,"78,000 / 月",485 元,2021.06
資深工程師 ,全職,7.5 / 8,40,偶爾,5 年,"82,000 / 月",510 元,2021.05
軟體工程師 ,全職,7.5 / 8.5,42.5,偶爾,-,"800,000 / 年",391 元,2021.03
軟體工程師 ,全職,7.5 / 7,35,幾乎不,1 年,"1,000,000 / 年",593 元,2021.05
資深軟體工程師 ,全職,7.5 / 8,40,幾乎不,6 年,"80,000 / 月",498 元,2021.04
RD ,全職,8 / 7,35,幾乎不,1 年,"53,000 / 月",377 元,2015.01
RD ,全職,8 / 7.5,40,偶爾,2 年,"62,000 / 月",384 元,2021.03
軟體工程師 ,全職,7.5 / 7.5,37.5,幾乎不,6 年,"1,200,000 / 年",664 元,2021.03
軟體工程師 台北大安,全職,8 / 8,40,幾乎不,-,"63,000 / 月",392 元,2021.03
暑期實習生 台北總部,實習,7.5 / 7.5,37.5,幾乎不,-,200 / 小時,200 元,2019.08
軟體工程施 大安區,全職,8 / 8,40,幾乎不,-,"60,000 / 月",373 元,2021.02
軟體工程師 AIM,全職,8 / 8,40,偶爾,3 年,"840,000 / 年",436 元,2021.01
測試工程師 ,全職,8 / 8,40,偶爾,8 年,"1,200,000 / 年",622 元,2017.03
軟體工程師 ,全職,7 / 7,35,幾乎不,3 年,"85,000 / 月",605 元,2020.12
資深軟體工程師 ,全職,9.5 / 7,40,幾乎不,7 年,"1,450,000 / 年",745 元,2020.11
軟體工程師 ,全職,8 / 8,40,幾乎不,10 年,"68,000 / 月",423 元,2012.10
工程師 ,全職,8 / 8,40,幾乎不,1 年,"910,000 / 年",472 元,2020.10
實習工程師 研發部,實習,7.5 / 8,24,幾乎不,-,200 / 小時,200 元,2020.10
軟體設計工程師 ,全職,8 / 8,40,偶爾,10 年,"80,000 / 月",498 元,2020.10
資深工程師 ,全職,8 / 8,40,幾乎不,6 年,"1,100,000 / 年",571 元,2019.01
軟體測試工程師 ,全職,8 / 8,40,幾乎不,-,"62,000 / 月",386 元,2020.08
實習軟體工程師 ,實習,7.5 / 7.5,37.5,偶爾,1 年,200 / 小時,200 元,2020.06
研發工程師 ,實習,8 / 8,40,幾乎不,-,"30,000 / 月",187 元,2016.09
通訊軟體工程師 ,全職,8 / 8,40,幾乎不,10 年,"1,000,000 / 年",519 元,2017.09
軟體設計工程師 ,全職,8 / 8,40,幾乎不,5 年,"1,200,000 / 年",622 元,2020.07
軟體測試工程師 ,全職,8.5 / 9,45,經常,5 年,"1,060,000 / 年",489 元,2020.07
測試工程師 ,全職,8 / 10,50,經常,-,"800,000 / 年",332 元,2020.07
暑期實習生 ,實習,8 / 8.5,41,幾乎不,-,200 / 小時,200 元,2019.08
資深全端工程師 台北,全職,8 / 8,40,幾乎不,3 年,"72,000 / 月",448 元,2020.06
軟體測試工程師 ,全職,8 / 8,56,幾乎不,-,"62,000 / 月",270 元,2020.06
技術經理 ,全職,8 / 8,40,偶爾,4 年,"1,490,000 / 年",773 元,2020.06
SOFTWARE DEVELOPER ,全職,8 / 8,40,偶爾,5 年,"72,500 / 月",451 元,2011.03
軟體設計工程師 ,全職,7.5 / 8,40,幾乎不,4 年,"1,050,000 / 年",545 元,2020.01
資深工程師 ,全職,7.5 / 6,30,偶爾,4 年,"1,008,000 / 年",697 元,2019.12
資深前端工程師 ,全職,8 / 8,40,偶爾,3 年,"1,010,000 / 年",524 元,2019.12
資深軟體工程師 ,全職,8 / 8,40,幾乎不,2 年,"840,000 / 年",436 元,2012.04
軟體工程師 ,約聘雇,7.5 / 7.5,37.5,幾乎不,2 年,"80,000 / 月",531 元,2019.12
資深軟體工程師 ,全職,7.5 / 8.5,40,偶爾,7 年,"84,000 / 月",525 元,2019.11
軟體工程師 ,全職,7.5 / 7.5,37.5,幾乎不,-,"900,000 / 年",498 元,2019.11
技術經理 台北,全職,8 / 8,40,偶爾,13 年,"1,350,000 / 年",700 元,2019.07
資深軟體工程師（QA) ,全職,8 / 8,40,偶爾,8 年,"76,000 / 月",473 元,2017.04
軟體工程師 台北市大安區,全職,8 / 9,40,幾乎不,3 年,"800,000 / 年",419 元,2016.04
軟體工程師 ,全職,8 / 8,40,偶爾,-,"56,000 / 月",349 元,2017.09
資深工程師 ,全職,8 / 8,40,偶爾,5 年,"1,200,000 / 年",622 元,2019.05
軟體設計工程師 ,全職,8 / 7.5,40,幾乎不,1 年,"60,000 / 月",372 元,2019.05
軟體工程師 ,全職,8 / 8,40,偶爾,10 年,"900,000 / 年",467 元,2014.06
暑期實習-軟體開發與測試 ,實習,7.5 / 7.5,37.5,幾乎不,-,200 / 小時,200 元,2018.08
資深工程師 ,全職,8 / 9,40,幾乎不,7 年,"1,100,000 / 年",576 元,2019.01
資深工程師 RD,全職,9 / 7.5,37.5,幾乎不,5 年,"1,200,000 / 年",664 元,2019.01
資深工程師 ,全職,7.5 / 7,35,偶爾,4 年,"76,000 / 月",541 元,2018.07
軟體工程師 ,全職,8 / 8,40,幾乎不,1 年,"55,000 / 月",342 元,2012.06
軟體工程師 ,全職,7.5 / 8,40,幾乎不,3 年,"1,000,000 / 年",519 元,2018.06
SENIOR SOFTWARE ENGINEER  RD,全職,7.5 / 8,40,偶爾,4 年,"77,000 / 月",479 元,2018.06
QA ,全職,8 / 10,40,偶爾,13 年,"1,300,000 / 年",688 元,2018.06
軟體設計工程師 ,全職,7.5 / 7.5,37.5,幾乎不,3 年,"800,000 / 年",443 元,2016.02
資深工程師 ,全職,8 / 8,40,幾乎不,5 年,"1,150,000 / 年",596 元,2018.05
資深軟體工程師 ,派遣,7.5 / 8,40,偶爾,4 年,"1,050,000 / 年",545 元,2018.05
軟體工程師 台北,全職,8 / 8,40,幾乎不,6 年,"100,000 / 月",622 元,2018.05
軟體工程師 ,全職,8 / 8,40,幾乎不,-,"812,000 / 年",421 元,2018.05
軟體工程師 ,全職,8 / 8,40,幾乎不,3 年,"952,000 / 年",494 元,2018.02
軟體工程實習生 ,實習,7.5 / 7.5,34,幾乎不,-,200 / 小時,200 元,2017.08
工程師 ,全職,8 / 7.5,40,幾乎不,3 年,"55,000 / 月",341 元,2018.02
ENGINEER ,全職,7.5 / 7.5,37.5,幾乎不,1 年,"60,000 / 月",398 元,2017.05
資深軟體工程師 台北,全職,7.5 / 8,40,偶爾,6 年,"1,200,000 / 年",622 元,2018.03
軟體工程師 台北,全職,7.5 / 7.5,37.5,幾乎不,5 年,"67,000 / 月",445 元,2017.10
軟體測試工程師 台北,全職,7.5 / 7.5,37.5,幾乎不,2 年,"700,000 / 年",387 元,2016.02
STAFF ENGINEER 台北,全職,7.5 / 7.5,37.5,幾乎不,13 年,"1,210,000 / 年",669 元,2017.04
軟體工程師 ,全職,7.5 / 9,45,經常,3 年,"55,000 / 月",304 元,2015.07
QA ENGINEER 台北,全職,8 / 10,50,偶爾,2 年,"48,000 / 月",239 元,2012.11
資深工程師 TAIPEI,全職,8 / 8.5,45,偶爾,3 年,"66,000 / 月",364 元,2016.03
軟體工程師 IS,全職,8 / 8,8,幾乎不,-,"730,000 / 年",2765 元,2017.03
資深工程師 ,全職,7.5 / 7.5,37.5,偶爾,5 年,"66,300 / 月",440 元,2011.05
軟體工程師 台北,全職,8 / 10,55,偶爾,-,"41,000 / 月",184 元,2017.03
軟體設計工程師 台北,全職,7.5 / 7.5,37.5,幾乎不,4 年,"1,400,000 / 年",775 元,2017.03
軟韌體測試工程師 ,全職,9 / 10.5,55,經常,2 年,"1,000,000 / 年",376 元,2017.03
工程師 台灣台北,全職,7.5 / 8,40,偶爾,3 年,"1,200,000 / 年",622 元,2017.03
資訊工程師 ,全職,8 / 8,40,幾乎不,2 年,"70,000 / 月",436 元,2017.03
軟體設計工程師 ,全職,8 / 8,40,偶爾,3 年,"71,500 / 月",445 元,2017.03
軟體工程師 台北,全職,7.5 / 7.5,37.5,幾乎不,-,"57,500 / 月",382 元,2017.03
軟體設計工程師 ,全職,7.5 / 8.5,42.5,偶爾,8 年,"1,400,000 / 年",683 元,2017.03
軟體設計工程師 台北,全職,7.5 / 8,32.5,幾乎不,5 年,"890,000 / 年",579 元,2017.02
資深工程師 台北總部,,8 / 8,40,幾乎不,-,-,,2016.11
軟體設計工程師 ,,7 / 9,45,幾乎不,-,-,,2016.07
軟體工程師 ,,7 / 7,37,幾乎不,-,-,,2016.07
軟體設計工程師 ,,7 / 8,40,幾乎不,-,-,,2016.07
資深工程師 ,,8 / 9,45,幾乎不,-,-,,2016.07
