職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
APP ,全職,8 / 9,46,偶爾,9 年,"1,800,000 / 年",810 元,2024.06
財務實習生 新竹總部,實習,8 / 8,20,幾乎不,1 年,183 / 小時,183 元,2024.05
TACTICAL BUYER Linkou ,全職,8 / 8,40,偶爾,5 年,"1,600,000 / 年",830 元,2021.04
APP 新竹,全職,8 / 8.5,45,偶爾,9 年,"1,700,000 / 年",780 元,2024.05
CS Tainan,全職,9 / 8,45,偶爾,2 年,"72,000 / 月",395 元,2024.03
PROCUREMENT INTERN ,實習,8 / 8,40,偶爾,-,180 / 小時,180 元,2024.03
INTERN 新竹,實習,8 / 8,25,幾乎不,-,200 / 小時,200 元,2020.09
DATA ANALYST ,全職,8 / 8.5,43,幾乎不,4 年,"93,500 / 月",541 元,2023.12
D&E ,全職,8 / 9,45,偶爾,5 年,"80,000 / 月",443 元,2024.03
工程師 台南,全職,8 / 8.5,42,偶爾,5 年,"1,400,000 / 年",692 元,2023.11
資深工程師 台南辦公室,全職,8 / 8,40,偶爾,10 年,"120,000 / 月",747 元,2023.09
TECHNICAL SUPPORT ENGINEER  ,全職,8 / 10,50,經常,4 年,"1,200,000 / 年",498 元,2018.07
CSE TSMC Ｆ１２,全職,12 / 12.5,45,幾乎不,-,"50,000 / 月",285 元,2022.10
CSE ,全職,8 / 10,50,偶爾,-,"1,200,000 / 年",498 元,2023.02
APP 林口,全職,8 / 8,40,偶爾,4 年,"1,500,000 / 年",778 元,2022.02
PLANNER ,全職,12 / 12.5,42,偶爾,-,"1,100,000 / 年",565 元,2022.02
PLANNER 南部,全職,8 / 10,50,幾乎每天,5 年,"1,100,000 / 年",456 元,2022.01
PROJECT LEADER 新竹,全職,8 / 11,55,經常,5 年,"2,000,000 / 年",754 元,2022.01
客服工程師 林口,全職,8 / 11,55,經常,14 年,"2,500,000 / 年",943 元,2021.08
CS ,全職,8 / 10,50,經常,16 年,"128,000 / 月",637 元,2021.08
APPLICATION 新竹,全職,8 / 9,42,偶爾,9 年,"102,000 / 月",608 元,2021.07
工程師 新竹,全職,12 / 13,40,幾乎不,1 年,"1,200,000 / 年",655 元,2018.07
HARDWARE ENGINEER Tainan,全職,8 / 8,40,偶爾,2 年,"60,000 / 月",373 元,2021.06
工程師 新竹,全職,8 / 11,55,幾乎每天,6 年,"1,400,000 / 年",528 元,2021.06
CUSTOMER SUPPORT ENGINEER  台中,全職,12 / 12,40,幾乎不,6 年,"82,000 / 月",531 元,2021.05
設備工程師 台中,全職,8 / 9,52,偶爾,4 年,"1,500,000 / 年",592 元,2021.04
機構工程師 台南廠,全職,8 / 8,40,偶爾,3 年,"65,000 / 月",405 元,2021.03
客服工程師 台南,全職,8 / 10,50,經常,2 年,"55,000 / 月",274 元,2021.01
客服工程師 台南/DUV,全職,12 / 13,46,偶爾,1 年,"1,200,000 / 年",559 元,2021.01
FAE ,全職,8 / 9.5,48,偶爾,6 年,"1,500,000 / 年",648 元,2020.10
客服工程師 ,全職,12 / 12,48,偶爾,1 年,"1,200,000 / 年",529 元,2019.12
CS ENGINEER 新竹,全職,8.5 / 12,40,偶爾,1 年,"991,000 / 年",535 元,2019.12
PROJECT LEADER ,全職,8 / 10,50,經常,5 年,"130,000 / 月",647 元,2019.12
ENGINEER Linkou,全職,9 / 11,50,經常,8 年,"990,000 / 年",414 元,2019.10
PROJECT LEADER  ,全職,9 / 10,45,經常,9 年,"1,800,000 / 年",837 元,2019.10
客服工程師 桃園龜山,全職,8 / 8,40,偶爾,10 年,"90,000 / 月",560 元,2019.07
客服設備工程師 南亞客服設備工程師,全職,12 / 12,48,經常,3 年,"65,000 / 月",344 元,2019.07
CUSTOMER SERVICE ENGINEER 林口,全職,12 / 12,40,偶爾,3 年,"1,500,000 / 年",810 元,2019.07
ENGINEER Engineer,全職,8 / 9,45,偶爾,7 年,"1,400,000 / 年",645 元,2019.02
設備 台中,全職,12 / 12,42,幾乎不,-,"48,500 / 月",298 元,2019.02
