職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
SOFTWARE ENGINEER ,全職,9 / 11,50,經常,1 年,"900,000 / 年",376 元,2024.08
軟體工程師 ,全職,8 / 8,40,幾乎不,2 年,"110,000 / 月",685 元,2024.06
軟體工程師 ,實習,8 / 8,40,幾乎不,-,"60,000 / 月",373 元,2023.09
PT P,全職,8 / 8,40,幾乎不,5 年,168 / 日,21 元,2024.04
應用工程師 ,派遣,8 / 8,40,幾乎不,2 年,"860,000 / 年",446 元,2021.02
軟體工程師 板橋,全職,8 / 9,45,偶爾,2 年,"2,200,000 / 年",1014 元,2023.06
實習生 台北,實習,8 / 10,40,幾乎不,-,"50,000 / 月",317 元,2019.06
資深硬體工程師 台北,全職,8 / 10,50,偶爾,13 年,"4,800,000 / 年",1992 元,2023.01
軟體工程師 台北市,全職,8 / 6,30,幾乎不,-,"2,100,000 / 年",1452 元,2022.04
產品設計機構工程師 台北101,全職,8 / 9,45,偶爾,12 年,"3,400,000 / 年",1568 元,2021.11
軟體工程師 ,全職,7 / 6,30,幾乎不,-,"127,500 / 月",1058 元,2021.08
TE ,全職,8 / 8,40,幾乎不,3 年,"1,450,000 / 年",752 元,2021.04
硬體工程師 板橋,全職,8 / 8,40,偶爾,-,"1,200,000 / 年",622 元,2021.02
SWE ,全職,8 / 8,40,幾乎不,2 年,"3,000,000 / 年",1556 元,2020.09
資料分析 美國,約聘雇,8 / 8,40,偶爾,2 年,"3,000,000 / 年",1556 元,2019.06
軟體工程師 台北101,全職,8 / 8,40,幾乎不,3 年,"3,200,000 / 年",1660 元,2019.12
軟體工程師 ,實習,8 / 8,40,幾乎不,-,"60,000 / 月",373 元,2018.09
軟體工程師 ,全職,8 / 7.5,36,幾乎不,1 年,"2,400,000 / 年",1388 元,2018.06
