職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
作業員╱包裝員 ,派遣,12 / 12,60,幾乎每天,1 年,150 / 小時,150 元,2019.10
機構工程師 士林,全職,8 / 9,45,經常,6 年,"50,000 / 月",277 元,2016.10
硬體工程師 ,全職,8 / 11,55,經常,3 年,"700,000 / 年",264 元,2022.04
散熱工程師 臺北,全職,8 / 10,50,經常,-,"60,000 / 月",299 元,2023.06
品保工程師 士林,全職,8 / 8.5,40,偶爾,10 年,"1,000,000 / 年",521 元,2018.09
生產技術╱製程工程師 TAO,全職,8 / 9.5,50,經常,-,"45,000 / 月",223 元,2023.02
韌體設計工程師 大溪,全職,8 / 9,45,偶爾,2 年,"60,000 / 月",332 元,2022.07
硬體工程師 桃園,全職,8 / 8.5,42,幾乎不,3 年,"800,000 / 年",396 元,2022.06
品管╱品保工程師 零件工程部,全職,8 / 8,40,幾乎不,3 年,"45,000 / 月",280 元,2020.06
光學工程師 桃園,全職,8 / 11,50,幾乎每天,-,"35,000 / 月",176 元,2022.04
高級工程師 桃園,全職,8 / 10,50,經常,2 年,"41,000 / 月",204 元,2021.09
工程師 桃園廠,全職,8 / 8,40,幾乎不,14 年,"46,000 / 月",286 元,2022.03
產品保證工程師 ,全職,8 / 9,45,偶爾,7 年,"960,000 / 年",443 元,2019.03
高專二級 士林,全職,8 / 9.5,44,經常,25 年,"1,200,000 / 年",569 元,2021.07
BIOS RD 台北士林,全職,8 / 10,45,偶爾,11 年,"1,200,000 / 年",558 元,2022.03
機構工程師 士林,全職,8 / 8.2,41,偶爾,2 年,"720,000 / 年",364 元,2022.01
韌體工程師 桃園廠,全職,8 / 11,50,經常,2 年,"750,000 / 年",314 元,2020.01
軟體工程師 士林,全職,8 / 9,42,偶爾,7 年,"800,000 / 年",397 元,2021.08
 高專 台北總公司,全職,8 / 8,40,幾乎不,22 年,"1,200,000 / 年",622 元,2021.08
PM 桃園廠,全職,8 / 9,45,偶爾,10 年,"80,000 / 月",443 元,2021.08
高級專員 桃園廠區,全職,8 / 8,40,幾乎不,10 年,"1,100,000 / 年",571 元,2021.08
軟體工程師 士林,全職,8 / 10,50,幾乎每天,7 年,"51,000 / 月",254 元,2021.03
高級專員 龜山,全職,8 / 8.5,40,偶爾,12 年,"1,070,000 / 年",558 元,2018.03
工程師 桃園,全職,8 / 12,60,幾乎每天,6 年,"78,790 / 月",327 元,2020.12
BIOS工程師 ,全職,8 / 8,40,幾乎不,5 年,"55,000 / 月",342 元,2019.09
品管╱品保主管 Tao,全職,8 / 9,45,偶爾,10 年,"1,300,000 / 年",599 元,2021.04
軟韌體測試工程師 桃園廠,全職,8 / 8,40,幾乎不,8 年,"900,000 / 年",467 元,2021.03
PM 桃園廠,全職,8 / 10,50,幾乎每天,9 年,"65,000 / 月",324 元,2020.09
SIT測試工程師 TRDC,全職,8 / 9,45,偶爾,1 年,"40,000 / 月",221 元,2012.02
機構 士林,全職,8 / 12,60,經常,7 年,"66,000 / 月",274 元,2021.03
SIT Tao,全職,8 / 12,60,幾乎每天,7 年,"55,000 / 月",228 元,2021.03
工程師 ,全職,8 / 10,45,經常,1 年,"40,000 / 月",223 元,2019.10
高一 桃園,全職,8 / 10,48,經常,14 年,"52,000 / 月",271 元,2020.11
軟體工程師 新桃科廠,全職,8 / 8,40,幾乎不,2 年,"690,000 / 年",358 元,2020.09
生產技術╱製程工程師 ,全職,8 / 10,40,偶爾,-,"41,000 / 月",260 元,2020.09
機構工程師 機構開發,全職,8 / 12,50,幾乎每天,3 年,"800,000 / 年",337 元,2020.06
機構工程師 桃園,全職,8 / 8,40,幾乎不,4 年,"50,000 / 月",311 元,2020.04
機構工程師 Bu1,全職,8 / 10,60,幾乎每天,2 年,"45,000 / 月",184 元,2020.02
韌體工程師 士林,全職,8 / 9.5,50,幾乎每天,7 年,"950,000 / 年",393 元,2019.12
硬體研發工程師 桃園廠,全職,8 / 8,40,經常,1 年,"40,000 / 月",249 元,2019.12
硬體研發工程師 桃園廠,全職,8 / 10,50,偶爾,6 年,"53,000 / 月",264 元,2019.12
軟韌體測試工程師 桃園廠,全職,8 / 9,45,偶爾,-,"38,000 / 月",210 元,2019.10
熱傳工程師 龜山廠,全職,8 / 10,48,幾乎每天,4 年,"770,000 / 年",334 元,2019.09
硬體工程師 桃園,全職,8 / 10,50,經常,-,"44,200 / 月",220 元,2019.07
專員 士林,全職,8 / 9,45,偶爾,1 年,"50,000 / 月",277 元,2019.07
BIOS工程師 桃園廠,全職,8 / 9,45,偶爾,-,"44,500 / 月",246 元,2019.06
硬體工程師 桃園廠,全職,8 / 9.5,40,偶爾,9 年,"60,000 / 月",379 元,2019.06
