職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
製程整合工程師 台中廠,全職,8 / 14,70,幾乎每天,1 年,"77,000 / 月",274 元,2022.01
製程工程師 台中廠,全職,8 / 9.5,50,經常,3 年,"1,200,000 / 年",496 元,2023.08
軟體工程師 台中,全職,8 / 8,40,偶爾,6 年,"80,000 / 月",498 元,2023.06
PHOTO IMM EQUIPMENT ENGINEER ,全職,8 / 10.4,52.2,幾乎每天,-,"263,000 / 月",1254 元,2021.03
設備工程師 后里,全職,10 / 12,45,經常,1 年,"700,000 / 年",331 元,2023.03
半導體製程工程師 ,全職,8 / 9.5,46,經常,1 年,"65,000 / 月",353 元,2023.02
工程師 台中,全職,8 / 12,70,幾乎每天,4 年,"1,000,000 / 年",293 元,2021.04
半導體製程工程師 ,全職,8 / 10,50,經常,3 年,"80,000 / 月",398 元,2022.03
半導體製程工程師 ,全職,8 / 10,50,經常,15 年,"1,500,000 / 年",622 元,2020.05
生產設備工程師 台中,全職,8 / 10,60,經常,1 年,"46,000 / 月",188 元,2022.01
IT 台中廠,全職,8 / 8,40,偶爾,8 年,"1,300,000 / 年",674 元,2021.11
品質工程師 ,全職,8 / 9,45,偶爾,1 年,"1,100,000 / 年",507 元,2021.09
製程工程師 后里廠,全職,10 / 11,40,幾乎每天,1 年,"1,100,000 / 年",588 元,2021.06
PROCESS QUALITY ASSURANCE ENGINEER - SENIOR Taichung,全職,8.5 / 9,50,偶爾,5 年,"95,000 / 月",469 元,2019.05
半導體製程工程師 ,全職,8 / 10.5,50,幾乎每天,2 年,"1,150,000 / 年",479 元,2021.04
產品 台中,全職,8 / 11,50,經常,9 年,"1,400,000 / 年",586 元,2021.03
DATA SPECIALIST  台中,全職,8 / 8,40,幾乎不,2 年,"900,000 / 年",467 元,2021.02
製程工程師 桃園廠,全職,8 / 11,55,幾乎每天,2 年,"69,000 / 月",312 元,2021.02
製造課長 ,全職,12 / 14,60,經常,-,"60,000 / 月",252 元,2019.06
IC封裝╱測試工程師 ,全職,8 / 8,40,幾乎不,3 年,"1,300,000 / 年",674 元,2021.01
半導體製程工程師 桃園,全職,8 / 11,55,幾乎每天,1 年,"61,500 / 月",278 元,2021.01
生產設備工程師 ,全職,8 / 9,45,偶爾,7 年,"1,350,000 / 年",622 元,2021.01
工程師 台中,全職,8 / 9,45,偶爾,6 年,"1,300,000 / 年",599 元,2020.10
LCD設備工程師 ,全職,8 / 10,50,經常,-,"45,000 / 月",224 元,2018.05
系統控制工程師 台中,全職,8 / 10,51,經常,4 年,"1,400,000 / 年",569 元,2020.07
半導體設備工程師 桃園廠,全職,10 / 10,35,幾乎不,1 年,"863,662 / 年",530 元,2020.04
設備工程師 ,全職,8 / 10,45,偶爾,2 年,"1,120,000 / 年",521 元,2019.12
製程工程師 后里廠,全職,8 / 10,50,經常,3 年,"75,000 / 月",373 元,2019.12
製程整合工程師 台中廠,全職,8 / 14,70,幾乎每天,2 年,"1,300,000 / 年",385 元,2019.12
PROBE FUNCTIONAL ENGINEER 桃園,全職,8 / 8,40,幾乎不,4 年,"68,000 / 月",423 元,2019.10
設備工程師 后里,全職,8 / 9,45,偶爾,-,"60,000 / 月",332 元,2019.07
製程工程師 后里廠區,全職,8 / 10,50,幾乎每天,3 年,"1,300,000 / 年",539 元,2019.05
製程整合工程師 ,全職,8 / 8,40,幾乎不,-,"63,000 / 月",392 元,2019.01
硬體研發工程師 台中,全職,8 / 9,45,偶爾,-,"60,000 / 月",332 元,2018.08
製程工程師 台中,全職,8 / 10.5,50,經常,7 年,"1,300,000 / 年",542 元,2018.08
半導體設備工程師 台中,全職,8 / 10,52,幾乎每天,-,"50,000 / 月",239 元,2018.06
工業工程師╱生產線規劃 台中廠,全職,8 / 8.5,42.5,幾乎不,1 年,"930,000 / 年",454 元,2018.05
製程工程師 后里,全職,8 / 12,50,幾乎每天,-,"60,000 / 月",304 元,2018.05
廠務 ,全職,10 / 10,40,偶爾,-,"45,000 / 月",286 元,2017.03
半導體製程工程師 后里,全職,8 / 12,60,幾乎每天,-,"54,000 / 月",224 元,2017.02
半導體設備工程師 ,全職,12 / 13,45,偶爾,-,"45,000 / 月",258 元,2017.03
半導體製程工程師 中科,,10 / 12,42,偶爾,-,-,,2017.01
半導體製程工程師 ,,8 / 10,50,經常,-,-,,2016.07
