職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
行政助理 ,實習,8 / 8,24,幾乎不,-,136 / 小時,136 元,2017.06
軟體工程師 ,實習,8 / 8,40,幾乎不,-,220 / 小時,220 元,2023.06
技術副理 台灣微軟,約聘雇,8 / 8,40,偶爾,5 年,"71,000 / 月",442 元,2021.09
技術經理 ,全職,8 / 12,60,幾乎每天,13 年,"2,300,000 / 年",795 元,2019.03
軟體工程師 ,全職,8 / 8,40,偶爾,1 年,"1,500,000 / 年",778 元,2020.10
市場行銷實習生 ,實習,8 / 10,40,經常,-,150 / 小時,150 元,2019.05
INTERN ,實習,8 / 8,32,幾乎不,-,150 / 小時,150 元,2019.01
RDAA 台北,兼職(含打工),8 / 8,40,幾乎不,-,220 / 小時,220 元,2015.02
AA ,實習,8 / 8,24,幾乎不,-,150 / 小時,150 元,2018.07
實習生 ,實習,8 / 8.5,24,幾乎不,1 年,150 / 小時,150 元,2018.06
實習生 ,實習,8 / 8,16,幾乎不,-,140 / 小時,140 元,2017.04
行銷企劃人員 ,約聘雇,8 / 8,40,偶爾,-,-,,2016.04
實習生 北區,,8 / 8,24,幾乎不,-,-,,2016.10
派遣職員 ,,8 / 10,50,幾乎每天,-,-,,2016.07
行銷助理 ,,7 / 8,25,偶爾,-,-,,2016.07
Operation ,,8 / 8,40,偶爾,-,-,,2016.07
