職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
LAYOUT 台南,全職,8 / 10,50,經常,-,"55,000 / 月",274 元,2023.09
類比IC設計工程師 台元,全職,8 / 10,50,經常,2 年,"1,900,000 / 年",788 元,2022.08
類別IC工程師 ,全職,8 / 10,48,經常,1 年,"85,000 / 月",442 元,2022.09
品管╱品保工程師 篤行,全職,8.5 / 8.5,45,偶爾,7 年,"100,000 / 月",551 元,2022.07
通訊軟體工程師 ,全職,8 / 10,60,偶爾,6 年,"3,200,000 / 年",1092 元,2022.01
IC佈局工程師 ,全職,8 / 10,50,幾乎每天,5 年,"63,000 / 月",314 元,2019.06
電子工程師 ,全職,8 / 9,45,偶爾,9 年,"3,200,000 / 年",1475 元,2021.11
系統應用工程師 篤行,全職,8 / 12,60,經常,4 年,"84,000 / 月",349 元,2021.06
主任工程師 新竹篤行AED,全職,8 / 12,56,經常,7 年,"1,700,000 / 年",633 元,2021.05
數位IC設計工程師 ,全職,12 / 12,50,經常,-,"48,000 / 月",243 元,2021.05
工程師 新竹,全職,8 / 10,50,幾乎每天,1 年,"78,500 / 月",391 元,2021.03
PRINCIPAL ENGINEER 篤行,全職,8 / 15,80,幾乎每天,12 年,"2,500,000 / 年",645 元,2018.10
數位IC設計工程師 新竹,全職,8 / 9,45,偶爾,4 年,"1,580,000 / 年",728 元,2021.03
高級工程師 ,全職,8 / 8,40,偶爾,-,"76,000 / 月",473 元,2021.03
技術副理 新竹創新一路,全職,8 / 10,40,偶爾,13 年,"111,200 / 月",706 元,2018.02
資深工程師 ,全職,8 / 9,45,偶爾,7 年,"2,300,000 / 年",1060 元,2020.07
PRINCIPAL ENGINEER 竹科,全職,8 / 12,60,幾乎每天,12 年,"95,000 / 月",394 元,2018.10
主任工程師 新竹,全職,8 / 9,45,偶爾,9 年,"96,000 / 月",531 元,2021.02
主任工程師 ,全職,8 / 8.5,42.5,幾乎不,4 年,"1,800,000 / 年",879 元,2021.02
軟韌體測試工程師 新竹,約聘雇,8 / 10,55,經常,-,"40,000 / 月",180 元,2017.10
LAYOUT 台南,全職,8 / 10,45,經常,9 年,"75,000 / 月",419 元,2020.08
HW AE 新竹,全職,8.5 / 10,45,偶爾,4 年,"90,000 / 月",502 元,2015.07
PM 新竹,全職,8 / 8,40,幾乎不,10 年,"90,000 / 月",560 元,2015.03
系統應用工程師 ,全職,8 / 10,50,經常,10 年,"100,000 / 月",498 元,2019.12
系統應用工程師/演算法 ,全職,8 / 8,42,幾乎不,-,"75,000 / 月",443 元,2019.12
系統應用工程師 ,全職,8 / 13,65,幾乎每天,4 年,"84,000 / 月",322 元,2019.12
演算法 新竹,全職,8 / 10,60,經常,1 年,"76,000 / 月",311 元,2019.07
硬體研發工程師 新竹園區,實習,8 / 8,40,幾乎不,-,"30,000 / 月",187 元,2019.07
工程師 ,全職,8 / 10,50,偶爾,3 年,"80,000 / 月",398 元,2019.03
工程師 ,全職,8 / 12,50,經常,2 年,"76,000 / 月",384 元,2019.03
軟體工程師 ,全職,8 / 11,55,幾乎每天,1 年,"74,000 / 月",335 元,2018.08
數位IC ,全職,8 / 8.5,45,幾乎不,5 年,"90,000 / 月",496 元,2019.02
資深工程師 新竹,全職,8 / 10,50,經常,10 年,"120,000 / 月",598 元,2018.10
品質工程師 湖口,全職,8 / 10,50,幾乎每天,3 年,"750,000 / 年",311 元,2018.08
技術副理 ,全職,8 / 10,50,經常,10 年,"2,400,000 / 年",996 元,2018.06
數位IC設計工程師 ,全職,8 / 9,45,偶爾,9 年,"90,000 / 月",498 元,2018.06
高級工程師 新竹,全職,8 / 12,60,經常,6 年,"2,100,000 / 年",726 元,2018.05
資深工程師 ,全職,8.5 / 11,55,經常,7 年,"1,800,000 / 年",679 元,2013.11
副理 竹科,全職,8 / 11,50,偶爾,10 年,"1,400,000 / 年",586 元,2017.03
工業工程師╱生產線規劃 ,全職,8 / 10,50,經常,7 年,"1,000,000 / 年",415 元,2017.03
高級工程師 ,全職,8 / 9,45,偶爾,1 年,"78,500 / 月",434 元,2017.03
研發工程師 ,全職,8 / 9,45,幾乎不,7 年,"120,000 / 月",664 元,2017.02
資深工程師 ,,8 / 8,42,幾乎不,-,-,,2016.07
