職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
實習生 信義,實習,8 / 8,24,幾乎不,1 年,200 / 小時,200 元,2024.07
產品行銷實習生 ,實習,8 / 8,40,偶爾,-,160 / 小時,160 元,2021.06
實習生 ,兼職(含打工),8 / 8,40,幾乎不,-,170 / 小時,170 元,2021.01
軟體工程師 台北,實習,8 / 8,40,幾乎不,1 年,"24,000 / 月",149 元,2024.05
SWE ,實習,8 / 8,40,幾乎不,1 年,200 / 小時,200 元,2020.07
實習生 台北總部,實習,8 / 8,32,偶爾,1 年,180 / 小時,180 元,2018.06
TAI ,實習,8 / 8,40,幾乎不,-,180 / 小時,180 元,2022.03
行銷實習生 ,實習,8 / 8,20,偶爾,-,180 / 小時,180 元,2022.04
行銷實習生 ,實習,8 / 8,20,偶爾,-,180 / 小時,180 元,2022.04
軟體工程師 美國總部,全職,8 / 5,30,幾乎不,5 年,"4,500,000 / 年",3072 元,2021.05
軟體工程師 ,全職,8 / 9,45,經常,-,"50,000 / 月",277 元,2021.03
SOFTWARE ENGINEER Sunnyvale,全職,8.6 / 10,50,經常,3 年,"6,000,000 / 年",2490 元,2020.09
軟體工程師 台灣,實習,8 / 8,40,幾乎不,-,-,,2019.03
