職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
設備 ,全職,8 / 12,50,幾乎每天,2 年,"1,000,000 / 年",422 元,2023.12
半導體製程工程師 台南廠,全職,8 / 11,55,經常,14 年,"3,700,000 / 年",1396 元,2023.11
YED Ap6,全職,8 / 11,55,幾乎每天,-,"60,000 / 月",272 元,2023.07
軟體工程師 12B,全職,8 / 9,45,偶爾,2 年,"2,400,000 / 年",1107 元,2023.07
軟體工程師 新竹,全職,8 / 8.5,42,幾乎不,2 年,"2,500,000 / 年",1236 元,2023.04
製程整合 ,全職,5 / 11,55,幾乎每天,2 年,"2,000,000 / 年",754 元,2023.03
主任工程師 ,全職,8 / 12.5,75,幾乎每天,8 年,"3,000,000 / 年",819 元,2023.02
製程工程師 ,全職,8 / 10,43,經常,1 年,"1,400,000 / 年",684 元,2023.02
資深工程師 12p6,全職,8 / 9,45,偶爾,7 年,"2,400,000 / 年",1107 元,2021.09
主任工程師 ,全職,8 / 12,50,經常,3 年,"2,200,000 / 年",927 元,2017.11
主任工程師 新竹 研發部,全職,8 / 9,45,偶爾,2 年,"3,000,000 / 年",1383 元,2022.10
設備工程師 ,全職,8 / 11,60,幾乎每天,3 年,"2,700,000 / 年",928 元,2022.09
設備工程師 台中15B,全職,8 / 9.5,48,經常,5 年,"66,000 / 月",342 元,2022.09
半導體設備工程師 新竹,全職,8 / 11,55,幾乎每天,5 年,"2,200,000 / 年",830 元,2021.09
生產設備工程師 ,全職,8 / 13,52,幾乎每天,-,"1,800,000 / 年",733 元,2021.12
半導體製程工程師 台中15B,全職,8 / 12,60,幾乎每天,1 年,"60,000 / 月",249 元,2022.06
半導體製程工程師 台中15B,全職,8 / 12,60,幾乎每天,1 年,"60,000 / 月",249 元,2022.06
製程工程師 F12,全職,8 / 11,60,幾乎每天,5 年,"1,650,000 / 年",567 元,2022.01
製程工程師 南科,全職,8 / 11,40,經常,-,"42,000 / 月",269 元,2022.01
半導體工程師 竹科三廠,全職,8 / 11,57,經常,6 年,"2,300,000 / 年",835 元,2022.01
製程 新作,全職,8 / 14,70,幾乎每天,6 年,"2,000,000 / 年",593 元,2021.09
軟體工程師 新竹,全職,8 / 9,45,偶爾,7 年,"1,600,000 / 年",738 元,2016.04
ECIM工程師 ,全職,8 / 9,45,偶爾,1 年,"1,700,000 / 年",784 元,2021.09
生產設備工程師 ,全職,8 / 13,60,經常,3 年,"1,500,000 / 年",522 元,2021.09
模組副工程師 ,全職,8 / 15,60,幾乎每天,-,"36,000 / 月",152 元,2021.07
製程整合 ,全職,8 / 10,50,偶爾,9 年,"2,400,000 / 年",996 元,2021.08
製程整合工程師 ,全職,8 / 9,45,偶爾,3 年,"1,700,000 / 年",784 元,2021.08
工業工程師╱生產線規劃 ,全職,8 / 10,60,幾乎每天,2 年,"1,000,000 / 年",341 元,2019.04
IT ,全職,8 / 12,60,經常,2 年,"46,000 / 月",191 元,2017.04
ETE 台南,全職,12 / 8,40,偶爾,17 年,"900,000 / 年",467 元,2020.07
半導體製程工程師 南科,全職,8 / 10,44,幾乎每天,2 年,"1,700,000 / 年",810 元,2021.07
製造課長 竹科廠,全職,8 / 10,50,經常,5 年,"64,000 / 月",319 元,2021.07
工程師 新竹,全職,8 / 12,50,幾乎每天,-,"56,000 / 月",283 元,2021.02
資深工程師 新竹,全職,8 / 10.5,52.5,幾乎每天,5 年,"1,600,000 / 年",632 元,2021.06
助理工程師 台南,全職,8.5 / 10.5,55,經常,10 年,"900,000 / 年",338 元,2021.05
製程工程師 F15B,全職,8 / 12,60,幾乎每天,6 年,"2,000,000 / 年",692 元,2021.06
製程工程師 南科18a,全職,8 / 15,75,幾乎每天,-,"54,000 / 月",179 元,2021.05
設備工程師 ,全職,9 / 9,50,偶爾,-,"59,660 / 月",295 元,2021.06
研發工程師 ,全職,8 / 10,50,幾乎每天,1 年,"1,200,000 / 年",498 元,2021.06
PM 台北,全職,9 / 9,45,經常,-,"1,000,000 / 年",461 元,2021.05
製程工程師 12B,全職,8 / 12,60,幾乎每天,3 年,"1,700,000 / 年",588 元,2021.04
設備工程師 南科十八廠/CMP,全職,8 / 11,55,幾乎每天,-,"1,010,000 / 年",381 元,2021.02
主任工程師 台中,全職,8.5 / 10,50,經常,15 年,"2,500,000 / 年",1037 元,2021.04
廠務工程師 中科廠,全職,8 / 10,50,經常,5 年,"1,700,000 / 年",705 元,2021.03
設備工程師 ,實習,8 / 8,40,幾乎不,-,"25,000 / 月",156 元,2019.08
主任工程師 十二廠P6,全職,8.5 / 9,45,偶爾,8 年,"2,800,000 / 年",1291 元,2018.10
資深工程師 ,全職,8 / 10,53,偶爾,4 年,"1,800,000 / 年",701 元,2018.03
主任工程師 新竹,全職,8 / 8,40,偶爾,3 年,"2,500,000 / 年",1297 元,2021.03
半導體設備工程師 6廠,實習,8 / 8,40,幾乎不,-,"38,500 / 月",240 元,2020.09
品管╱品保工程師 ,全職,8 / 9,45,偶爾,5 年,"1,700,000 / 年",784 元,2020.11
設備工程師 台南,全職,8 / 14,75,幾乎每天,3 年,"1,700,000 / 年",468 元,2020.08
工程師 竹科,全職,8 / 8,45,偶爾,6 年,"1,800,000 / 年",823 元,2021.01
製程整合工程師 南科F14A,全職,9 / 11,55,偶爾,1 年,"1,200,000 / 年",453 元,2019.09
製成工程師 十四廠,全職,9 / 14,60,經常,1 年,"1,800,000 / 年",631 元,2020.08
黃光製程工程師 F18,全職,8 / 13,65,幾乎每天,-,"46,500 / 月",178 元,2020.05
設備工程師 ,全職,8 / 11,50,幾乎每天,-,"46,500 / 月",233 元,2020.10
工程師 台中,全職,8 / 11,60,經常,-,"46,500 / 月",192 元,2020.10
研發工程師 新竹,全職,8 / 11,55,偶爾,4 年,"1,350,000 / 年",509 元,2020.09
半導體設備工程師 ,全職,8 / 12,72,幾乎每天,3 年,"1,400,000 / 年",398 元,2017.04
製程整合 Fab14,全職,8 / 10,50,經常,1 年,"1,200,000 / 年",498 元,2020.09
半導體製程工程師 竹科,全職,8 / 9,50,經常,14 年,"70,000 / 月",346 元,2020.08
製程整合工程師 ,全職,8 / 12,70,幾乎每天,-,"46,500 / 月",164 元,2020.08
製程工程師 台南,全職,8 / 13,64,幾乎每天,3 年,"1,500,000 / 年",487 元,2020.02
主任工程師 新竹,全職,8 / 12,60,經常,2 年,"100,000 / 月",415 元,2020.04
IT ENGINEER ,全職,8 / 9.5,48,幾乎每天,1 年,"900,000 / 年",389 元,2020.01
設備工程師 六廠,全職,8 / 11,66,偶爾,6 年,"1,250,000 / 年",388 元,2019.11
IT ,全職,8 / 10,50,經常,5 年,"1,700,000 / 年",705 元,2017.03
製程整合工程師 F14B,全職,8 / 10,50,幾乎每天,2 年,"1,300,000 / 年",539 元,2019.11
IT 新竹,全職,8 / 12,60,幾乎每天,-,"45,500 / 月",189 元,2019.10
IT ,全職,5 / 9,45,偶爾,-,"45,000 / 月",249 元,2019.09
製程工程師 ,全職,8.5 / 12,60,幾乎每天,5 年,"57,000 / 月",237 元,2017.10
製造課長 台中,全職,8.5 / 11,50,經常,-,"44,800 / 月",225 元,2015.09
半導體設備工程師 ,全職,8.5 / 11,60,經常,6 年,"1,700,000 / 年",584 元,2018.11
軟體工程師 研發部,全職,8 / 8,40.5,幾乎不,1 年,"45,000 / 月",276 元,2019.05
半導體工程師 新竹,全職,8 / 8,40,偶爾,-,"45,000 / 月",280 元,2019.02
設備工程師 南科,全職,8 / 12,50,經常,-,"45,000 / 月",228 元,2019.01
助理工程師 台南,全職,8 / 11,55,幾乎每天,8 年,"45,000 / 月",204 元,2018.12
SUPERVISOR 台積電,全職,8 / 9,45,偶爾,5 年,"46,000 / 月",254 元,2018.11
生產設備工程師 ,全職,8.5 / 10,50,經常,6 年,"1,500,000 / 年",622 元,2014.09
CIM工程師 新竹廠,全職,8 / 11,55,經常,3 年,"1,500,000 / 年",566 元,2018.10
PIE ,全職,8 / 10,60,幾乎每天,3 年,"1,500,000 / 年",512 元,2018.03
工程師 竹科,全職,8 / 9,45,偶爾,-,"800,000 / 年",369 元,2018.07
半導體製程工程師 14A,全職,8 / 10,50,經常,-,"1,300,000 / 年",539 元,2018.07
專案工程師 ,全職,8 / 11.5,50,經常,3 年,"1,500,000 / 年",630 元,2018.05
軟體工程師實習 ,實習,8 / 8,40,幾乎不,-,170 / 小時,170 元,2017.08
IT實習生 新竹7廠,實習,8 / 8,40,幾乎不,-,"25,000 / 月",156 元,2015.08
工程師 ,全職,8 / 11,50,經常,-,"45,000 / 月",226 元,2017.11
QR ,全職,9 / 10,45,偶爾,-,"2,400,000 / 年",1116 元,2018.03
人資主任 竹科廠區,全職,8 / 10,50,偶爾,6 年,"50,000 / 月",249 元,2017.02
研發工程師 ,,8 / 10,50,偶爾,-,-,,2016.07
半導體製程工程師 ,,8 / 12,60,幾乎每天,-,-,,2016.07
資深工程師 ,,8 / 9,45,偶爾,-,-,,2016.07
